employee_id,date,clock_in,clock_out
EMP-001,2026-08-03,08:15,17:30
EMP-002,2026-08-03,08:02,17:15
EMP-003,2026-08-03,07:55,17:45
EMP-004,2026-08-03,08:30,17:00
EMP-005,2026-08-03,08:22,16:55
EMP-006,2026-08-03,09:05,18:10
EMP-007,2026-08-03,08:45,17:20
EMP-008,2026-08-03,07:48,16:30
EMP-009,2026-08-03,08:10,17:40
EMP-010,2026-08-03,08:35,17:05
EMP-011,2026-08-03,09:12,18:00
EMP-012,2026-08-03,08:50,17:15
EMP-013,2026-08-03,07:42,16:45
EMP-014,2026-08-03,08:20,17:30
EMP-015,2026-08-03,08:05,16:50
EMP-016,2026-08-03,07:35,16:20
EMP-017,2026-08-03,08:40,17:25
EMP-018,2026-08-03,09:00,18:05
EMP-019,2026-08-03,08:28,17:10
EMP-020,2026-08-03,07:50,16:40
EMP-021,2026-08-03,08:15,17:00
EMP-022,2026-08-03,08:55,17:45
EMP-023,2026-08-03,09:20,18:15
EMP-024,2026-08-03,08:10,17:05
EMP-025,2026-08-03,07:38,16:35
EMP-026,2026-08-03,08:45,17:30
EMP-027,2026-08-03,08:00,16:50
EMP-028,2026-08-03,09:10,18:00
EMP-029,2026-08-03,08:25,17:20
EMP-030,2026-08-03,07:55,17:10
EMP-031,2026-08-03,08:32,17:35
EMP-032,2026-08-03,08:18,16:55
EMP-033,2026-08-03,09:05,17:50
EMP-034,2026-08-03,08:42,17:15
EMP-035,2026-08-03,07:45,16:30
EMP-038,2026-08-03,08:20,17:25
EMP-039,2026-08-03,08:08,17:00
EMP-040,2026-08-03,09:15,18:20
EMP-001,2026-08-07,08:05,17:20
EMP-002,2026-08-07,08:18,17:35
EMP-003,2026-08-07,07:50,17:10
EMP-004,2026-08-07,08:40,17:25
EMP-005,2026-08-07,08:12,16:45
EMP-006,2026-08-07,09:10,18:05
EMP-007,2026-08-07,08:55,17:40
EMP-008,2026-08-07,07:40,16:25
EMP-009,2026-08-07,08:25,17:50
EMP-010,2026-08-07,08:48,17:15
EMP-011,2026-08-07,09:00,18:10
EMP-012,2026-08-07,08:35,17:00
EMP-013,2026-08-07,07:55,16:50
EMP-014,2026-08-07,08:10,17:20
EMP-015,2026-08-07,08:22,17:05
EMP-016,2026-08-07,07:32,16:15
EMP-017,2026-08-07,08:50,17:35
EMP-018,2026-08-07,09:15,18:20
EMP-019,2026-08-07,08:38,17:00
EMP-020,2026-08-07,07:45,16:30
EMP-021,2026-08-07,08:05,16:55
EMP-022,2026-08-07,09:02,17:50
EMP-023,2026-08-07,09:25,18:25
EMP-024,2026-08-07,08:15,17:10
EMP-025,2026-08-07,07:42,16:40
EMP-026,2026-08-07,08:55,17:45
EMP-027,2026-08-07,08:08,17:00
EMP-028,2026-08-07,09:18,18:05
EMP-029,2026-08-07,08:30,17:15
EMP-030,2026-08-07,08:00,17:20
EMP-031,2026-08-07,08:42,17:40
EMP-032,2026-08-07,08:25,17:05
EMP-033,2026-08-07,09:10,18:00
EMP-034,2026-08-07,08:35,17:10
EMP-035,2026-08-07,07:50,16:35
EMP-038,2026-08-07,08:15,17:30
EMP-039,2026-08-07,08:02,16:50
EMP-040,2026-08-07,09:20,18:15
EMP-001,2026-08-12,08:20,17:40
EMP-002,2026-08-12,07:58,17:05
EMP-003,2026-08-12,08:10,17:30
EMP-004,2026-08-12,08:35,17:15
EMP-005,2026-08-12,08:48,17:20
EMP-006,2026-08-12,09:08,18:00
EMP-007,2026-08-12,08:30,17:10
EMP-008,2026-08-12,07:52,16:40
EMP-009,2026-08-12,08:18,17:55
EMP-010,2026-08-12,08:42,17:00
EMP-011,2026-08-12,09:05,18:15
EMP-012,2026-08-12,08:25,16:55
EMP-013,2026-08-12,07:48,16:45
EMP-014,2026-08-12,08:15,17:25
EMP-015,2026-08-12,08:00,16:40
EMP-016,2026-08-12,07:38,16:20
EMP-017,2026-08-12,08:55,17:30
EMP-018,2026-08-12,09:10,18:10
EMP-019,2026-08-12,08:22,17:05
EMP-020,2026-08-12,07:55,16:35
EMP-021,2026-08-12,08:12,17:10
EMP-022,2026-08-12,08:58,17:50
EMP-023,2026-08-12,09:22,18:20
EMP-024,2026-08-12,08:08,17:00
EMP-025,2026-08-12,07:35,16:30
EMP-026,2026-08-12,08:40,17:25
EMP-027,2026-08-12,08:05,16:55
EMP-028,2026-08-12,09:15,18:00
EMP-029,2026-08-12,08:28,17:20
EMP-030,2026-08-12,07:50,17:15
EMP-031,2026-08-12,08:38,17:45
EMP-032,2026-08-12,08:20,17:00
EMP-033,2026-08-12,09:00,17:55
EMP-034,2026-08-12,08:45,17:20
EMP-035,2026-08-12,07:42,16:25
EMP-038,2026-08-12,08:10,17:30
EMP-039,2026-08-12,08:05,16:45
EMP-040,2026-08-12,09:18,18:10
EMP-001,2026-08-17,08:10,17:25
EMP-002,2026-08-17,08:25,17:40
EMP-003,2026-08-17,07:48,17:15
EMP-004,2026-08-17,08:38,17:05
EMP-005,2026-08-17,08:05,16:50
EMP-006,2026-08-17,09:15,18:15
EMP-007,2026-08-17,08:50,17:30
EMP-008,2026-08-17,07:45,16:35
EMP-009,2026-08-17,08:22,17:45
EMP-010,2026-08-17,08:55,17:20
EMP-011,2026-08-17,09:08,18:05
EMP-012,2026-08-17,08:40,17:10
EMP-013,2026-08-17,07:52,16:55
EMP-014,2026-08-17,08:18,17:35
EMP-015,2026-08-17,08:30,17:00
EMP-016,2026-08-17,07:35,16:10
EMP-017,2026-08-17,08:45,17:20
EMP-018,2026-08-17,09:05,18:00
EMP-019,2026-08-17,08:32,17:10
EMP-020,2026-08-17,07:58,16:45
EMP-021,2026-08-17,08:18,17:05
EMP-022,2026-08-17,08:52,17:40
EMP-023,2026-08-17,09:28,18:30
EMP-024,2026-08-17,08:12,17:15
EMP-025,2026-08-17,07:40,16:25
EMP-026,2026-08-17,08:48,17:35
EMP-027,2026-08-17,08:02,16:50
EMP-028,2026-08-17,09:12,18:05
EMP-029,2026-08-17,08:35,17:25
EMP-030,2026-08-17,07:55,17:20
EMP-031,2026-08-17,08:28,17:30
EMP-032,2026-08-17,08:15,16:55
EMP-033,2026-08-17,09:02,17:45
EMP-034,2026-08-17,08:50,17:25
EMP-035,2026-08-17,07:48,16:30
EMP-038,2026-08-17,08:22,17:35
EMP-039,2026-08-17,08:10,17:00
EMP-040,2026-08-17,09:25,18:25
EMP-001,2026-08-21,08:18,17:35
EMP-002,2026-08-21,08:08,17:20
EMP-003,2026-08-21,07:52,17:25
EMP-004,2026-08-21,08:28,17:10
EMP-005,2026-08-21,08:42,17:30
EMP-006,2026-08-21,09:02,17:55
EMP-007,2026-08-21,08:38,17:15
EMP-008,2026-08-21,07:55,16:45
EMP-009,2026-08-21,08:15,17:50
EMP-010,2026-08-21,08:50,17:25
EMP-011,2026-08-21,09:10,18:10
EMP-012,2026-08-21,08:22,16:55
EMP-013,2026-08-21,07:45,16:40
EMP-014,2026-08-21,08:05,17:20
EMP-015,2026-08-21,08:35,17:10
EMP-016,2026-08-21,07:30,16:05
EMP-017,2026-08-21,08:48,17:25
EMP-018,2026-08-21,09:08,18:15
EMP-019,2026-08-21,08:25,17:00
EMP-020,2026-08-21,08:00,16:50
EMP-021,2026-08-21,08:10,16:55
EMP-022,2026-08-21,09:05,17:55
EMP-023,2026-08-21,09:18,18:20
EMP-024,2026-08-21,08:20,17:10
EMP-025,2026-08-21,07:38,16:30
EMP-026,2026-08-21,08:52,17:40
EMP-027,2026-08-21,07:58,16:45
EMP-028,2026-08-21,09:20,18:10
EMP-029,2026-08-21,08:32,17:30
EMP-030,2026-08-21,07:48,17:10
EMP-031,2026-08-21,08:35,17:40
EMP-032,2026-08-21,08:22,17:05
EMP-033,2026-08-21,09:12,18:00
EMP-034,2026-08-21,08:40,17:15
EMP-035,2026-08-21,07:45,16:20
EMP-038,2026-08-21,08:18,17:25
EMP-039,2026-08-21,08:05,16:55
EMP-040,2026-08-21,09:22,18:15
